concept_id,concept,cluster_id,branch_name,reconstructed_proto_form,ipa_form,confidence_score,articulatory_notes,primary_proto_attestations,daughter_attestations
1,brother,branch_african,Proto-Sapiens Africanus (Праафриканский),*ʔaḫ-,ʔaḫ-,0.98,"Reconstructed stem *ʔaḫ- with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *ʔaḫ-; Прасемитский / Proto-Semitic: *ʔaḫw-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: sn; Old Akkadian / Древнеаккадский [akk]: ahu,Праафразийский праязык / Proto-Afroasiatic: *ʔaḫ-; Прасемитский / Proto-Semitic: *ʔaḫw-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: sn; Old Akkadian / Древнеаккадский [akk]: ahu; Ge'ez / Древнеэфиопский (Геэз) [gez]: ʔəḫʷ
2,sister,branch_african,Proto-Sapiens Africanus (Праафриканский),*ʔaḫ-t-,ʔaḫ-t-,0.98,"Reconstructed stem *ʔaḫ-t- with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *ʔaḫ-t-; Прасемитский / Proto-Semitic: *ʔaḫāt-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: snt; Proto-Kalahari Khoe: *ti,Праафразийский праязык / Proto-Afroasiatic: *ʔaḫ-t-; Прасемитский / Proto-Semitic: *ʔaḫāt-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: snt; Proto-Kalahari Khoe: *ti; Proto-Khoekhoe: *ti-
3,father,branch_african,Proto-Sapiens Africanus (Праафриканский),*ʔab-,ʔab-,0.98,"Reconstructed stem *ʔab- with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *ʔab-; Прасемитский / Proto-Semitic: *ʔabw-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jt; Proto-Kalahari Khoe: *ui,Праафразийский праязык / Proto-Afroasiatic: *ʔab-; Прасемитский / Proto-Semitic: *ʔabw-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jt; Proto-Kalahari Khoe: *ui; Proto-Khoekhoe: *kau-
4,mother,branch_african,Proto-Sapiens Africanus (Праафриканский),*ʔimm-,ʔimm-,0.98,"Reconstructed stem *ʔimm- with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *ʔimm-; Прасемитский / Proto-Semitic: *ʔimm-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: mwt; Old Akkadian / Древнеаккадский [akk]: ummu,Праафразийский праязык / Proto-Afroasiatic: *ʔimm-; Прасемитский / Proto-Semitic: *ʔimm-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: mwt; Old Akkadian / Древнеаккадский [akk]: ummu; Ge'ez / Древнеэфиопский (Геэз) [gez]: ʔəmm
5,water,branch_african,Proto-Sapiens Africanus (Праафриканский),*m-y / b-r,m-y / b-r,0.98,"Reconstructed stem *m-y / b-r with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *m-y / *b-r; Прасемитский / Proto-Semitic: *māy-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: mw; Proto-Kalahari Khoe: *cʰa,Праафразийский праязык / Proto-Afroasiatic: *m-y / *b-r; Прасемитский / Proto-Semitic: *māy-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: mw; Proto-Kalahari Khoe: *cʰa; Proto-Khoekhoe: *ǁam-
6,fire,branch_african,Proto-Sapiens Africanus (Праафриканский),*ʔ-s-t / w-h-y,ʔ-s-t / w-h-y,0.98,"Reconstructed stem *ʔ-s-t / w-h-y with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *ʔ-s-t / *w-h-y; Прасемитский / Proto-Semitic: *ʔišāt-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ḫt; Proto-Kalahari Khoe: *ǀʼe,Праафразийский праязык / Proto-Afroasiatic: *ʔ-s-t / *w-h-y; Прасемитский / Proto-Semitic: *ʔišāt-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ḫt; Proto-Kalahari Khoe: *ǀʼe; Proto-Khoekhoe: *ǀʼae-
7,sun,branch_african,Proto-Sapiens Africanus (Праафриканский),*š-m-š,š-m-š,0.98,"Reconstructed stem *š-m-š with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *š-m-š; Прасемитский / Proto-Semitic: *šamš-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: rꜥ; Proto-Kalahari Khoe: *ǀam,Праафразийский праязык / Proto-Afroasiatic: *š-m-š; Прасемитский / Proto-Semitic: *šamš-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: rꜥ; Proto-Kalahari Khoe: *ǀam; Proto-Khoekhoe: *sore-
8,moon,branch_african,Proto-Sapiens Africanus (Праафриканский),*waraḫ-,waraḫ-,0.98,"Reconstructed stem *waraḫ- with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *waraḫ-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jꜥḥ; Proto-Kalahari Khoe: *oɛ; Proto-Khoekhoe: *ǁxã-,Прасемитский / Proto-Semitic: *waraḫ-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jꜥḥ; Proto-Kalahari Khoe: *oɛ; Proto-Khoekhoe: *ǁxã-; Proto North Khoisan: *úí
9,star,branch_african,Proto-Sapiens Africanus (Праафриканский),*kawkab-,kawkab-,0.98,"Reconstructed stem *kawkab- with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *kawkab-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: sbꜣ; Proto-Kalahari Khoe: *ǀxani; Proto-Khoekhoe: *ǀami-ro-,Прасемитский / Proto-Semitic: *kawkab-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: sbꜣ; Proto-Kalahari Khoe: *ǀxani; Proto-Khoekhoe: *ǀami-ro-; Proto North Khoisan: *ǂ
10,eye,branch_african,Proto-Sapiens Africanus (Праафриканский),*ʕ-y-n,ʕ-y-n,0.98,"Reconstructed stem *ʕ-y-n with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *ʕ-y-n; Прасемитский / Proto-Semitic: *ʕayn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jrt; Proto-Kalahari Khoe: *ǂxai,Праафразийский праязык / Proto-Afroasiatic: *ʕ-y-n; Прасемитский / Proto-Semitic: *ʕayn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jrt; Proto-Kalahari Khoe: *ǂxai; Proto-Khoekhoe: *mũ-
11,ear,branch_african,Proto-Sapiens Africanus (Праафриканский),*ʔ-ḏ-n,ʔ-ḏ-n,0.98,"Reconstructed stem *ʔ-ḏ-n with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *ʔ-ḏ-n; Прасемитский / Proto-Semitic: *ʔuḏn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: msḏr; Proto-Kalahari Khoe: *ǂe,Праафразийский праязык / Proto-Afroasiatic: *ʔ-ḏ-n; Прасемитский / Proto-Semitic: *ʔuḏn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: msḏr; Proto-Kalahari Khoe: *ǂe; Proto-Khoekhoe: *ǂae-
12,tooth,branch_african,Proto-Sapiens Africanus (Праафриканский),*š-n-n,š-n-n,0.98,"Reconstructed stem *š-n-n with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *š-n-n; Прасемитский / Proto-Semitic: *šinn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jbḥ; Proto-Kalahari Khoe: *ǁũˤ,Праафразийский праязык / Proto-Afroasiatic: *š-n-n; Прасемитский / Proto-Semitic: *šinn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jbḥ; Proto-Kalahari Khoe: *ǁũˤ; Proto-Khoekhoe: *ǁũ-
13,tongue,branch_african,Proto-Sapiens Africanus (Праафриканский),*l-s-n,l-s-n,0.98,"Reconstructed stem *l-s-n with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *l-s-n; Прасемитский / Proto-Semitic: *lišān-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ns; Proto-Kalahari Khoe: *dam,Праафразийский праязык / Proto-Afroasiatic: *l-s-n; Прасемитский / Proto-Semitic: *lišān-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ns; Proto-Kalahari Khoe: *dam; Proto-Khoekhoe: *lam- #
14,hand,branch_african,Proto-Sapiens Africanus (Праафриканский),*y-d,y-d,0.98,"Reconstructed stem *y-d with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *y-d; Прасемитский / Proto-Semitic: *yad-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ḏrt; Proto-Kalahari Khoe: *cʰau,Праафразийский праязык / Proto-Afroasiatic: *y-d; Прасемитский / Proto-Semitic: *yad-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ḏrt; Proto-Kalahari Khoe: *cʰau; Proto North Khoisan: *au
15,foot,branch_african,Proto-Sapiens Africanus (Праафриканский),*r-k-l,r-k-l,0.98,"Reconstructed stem *r-k-l with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *r-g-l; Прасемитский / Proto-Semitic: *rigl-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: rd; Proto-Kalahari Khoe: *are ~ *!are,Праафразийский праязык / Proto-Afroasiatic: *r-g-l; Прасемитский / Proto-Semitic: *rigl-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: rd; Proto-Kalahari Khoe: *are ~ *!are; Proto-Khoekhoe: *ǂʼai-
16,head,branch_african,Proto-Sapiens Africanus (Праафриканский),*raʔš-,raʔš-,0.98,"Reconstructed stem *raʔš- with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *raʔš-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ḏꜣḏꜣ / tp; Proto-Kalahari Khoe: *ǂu; Proto North Khoisan: *ʔē,Прасемитский / Proto-Semitic: *raʔš-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ḏꜣḏꜣ / tp; Proto-Kalahari Khoe: *ǂu; Proto North Khoisan: *ʔē; Proto-!Wi: *a
17,heart,branch_african,Proto-Sapiens Africanus (Праафриканский),*l-b-b,l-b-b,0.98,"Reconstructed stem *l-b-b with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *l-b-b; Прасемитский / Proto-Semitic: *libb-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jb / ḥꜣty; Proto-Kalahari Khoe: *ǂáó,Праафразийский праязык / Proto-Afroasiatic: *l-b-b; Прасемитский / Proto-Semitic: *libb-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jb / ḥꜣty; Proto-Kalahari Khoe: *ǂáó; Proto-Khoekhoe: *ǂao-
18,blood,branch_african,Proto-Sapiens Africanus (Праафриканский),*d-m,d-m,0.98,"Reconstructed stem *d-m with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *d-m; Прасемитский / Proto-Semitic: *dam-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: znf; Proto-Kalahari Khoe: *ǀʼao,Праафразийский праязык / Proto-Afroasiatic: *d-m; Прасемитский / Proto-Semitic: *dam-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: znf; Proto-Kalahari Khoe: *ǀʼao; Proto-Khoekhoe: *ǀʼao-
