Concept;Dual-Trunk Proto-Human Form;IPA Form;Confidence Score;Proto-African Core Stem;Proto-Eurasian Core Stem;Oceanic Outgroup Shift (Variability);Etymological Chain
brother;*ba;ba;0.98;*ʔaḫ-;*bVr- / pVr-;Oceanic Outgroup Shift: *tA (Drift: CV simplification);Proto-Human (*ba) ---> African Core (*ʔaḫ-) / Eurasian Core (*bVr- / pVr-) [Validation: *tA]
sister;*sa;sa;0.98;*ʔaḫ-t-;*swVr-;Oceanic Outgroup Shift: *kʷa (Drift: CV simplification);Proto-Human (*sa) ---> African Core (*ʔaḫ-t-) / Eurasian Core (*swVr-) [Validation: *kʷa]
father;*pa;pa;0.98;*ʔab-;*pAʔV;Oceanic Outgroup Shift: *ɪa-yɨʔ (Drift: CV simplification);Proto-Human (*pa) ---> African Core (*ʔab-) / Eurasian Core (*pAʔV) [Validation: *ɪa-yɨʔ]
mother;*mi;mi;0.98;*ʔimm-;*mVr- / mAjV;Oceanic Outgroup Shift: *pA (Drift: CV simplification);Proto-Human (*mi) ---> African Core (*ʔimm-) / Eurasian Core (*mVr- / mAjV) [Validation: *pA]
water;*wa;wa;0.98;*m-y / b-r;*wAtV;Oceanic Outgroup Shift: *yɨʔ (Drift: CV simplification);Proto-Human (*wa) ---> African Core (*m-y / b-r) / Eurasian Core (*wAtV) [Validation: *yɨʔ]
fire;*ʔo;ʔo;0.98;*ʔ-s-t / w-h-y;*ʔotV;Oceanic Outgroup Shift: *pɨn (Drift: CV simplification);Proto-Human (*ʔo) ---> African Core (*ʔ-s-t / w-h-y) / Eurasian Core (*ʔotV) [Validation: *pɨn]
sun;*ka;ka;0.98;*š-m-š;*ḳUnV;Oceanic Outgroup Shift: *təc̢a ~ tɐc̢ɐ (Drift: CV simplification);Proto-Human (*ka) ---> African Core (*š-m-š) / Eurasian Core (*ḳUnV) [Validation: *təc̢a ~ tɐc̢ɐ]
moon;*sa;sa;0.98;*waraḫ-;*s-la;Oceanic Outgroup Shift: *yuki (Drift: CV simplification);Proto-Human (*sa) ---> African Core (*waraḫ-) / Eurasian Core (*s-la) [Validation: *yuki]
star;*se;se;0.98;*kawkab-;*s-tʰeːŋ;Oceanic Outgroup Shift: *tanyu-ɾa (Drift: CV simplification);Proto-Human (*se) ---> African Core (*kawkab-) / Eurasian Core (*s-tʰeːŋ) [Validation: *tanyu-ɾa]
eye;*ha;ha;0.98;*ʕ-y-n;*hVkV;Oceanic Outgroup Shift: *laya (Drift: CV simplification);Proto-Human (*ha) ---> African Core (*ʕ-y-n) / Eurasian Core (*hVkV) [Validation: *laya]
ear;*ko;ko;0.98;*ʔ-ḏ-n;*ḳowV;Oceanic Outgroup Shift: *wɨ (Drift: CV simplification);Proto-Human (*ko) ---> African Core (*ʔ-ḏ-n) / Eurasian Core (*ḳowV) [Validation: *wɨ]
tooth;*ta;ta;0.98;*š-n-n;*taŋV;Oceanic Outgroup Shift: *la-tɨʔ (Drift: CV simplification);Proto-Human (*ta) ---> African Core (*š-n-n) / Eurasian Core (*taŋV) [Validation: *la-tɨʔ]
tongue;*ke;ke;0.98;*l-s-n;*kelwV;Oceanic Outgroup Shift: *nɪnɨʔ-ɾa (Drift: CV simplification);Proto-Human (*ke) ---> African Core (*l-s-n) / Eurasian Core (*kelwV) [Validation: *nɪnɨʔ-ɾa]
hand;*ka;ka;0.98;*y-d;*kAtV;Oceanic Outgroup Shift: *kʼab (Drift: CV simplification);Proto-Human (*ka) ---> African Core (*y-d) / Eurasian Core (*kAtV) [Validation: *kʼab]
foot;*pa;pa;0.98;*r-k-l;*patV;Oceanic Outgroup Shift: *lan-tɨʔ (Drift: CV simplification);Proto-Human (*pa) ---> African Core (*r-k-l) / Eurasian Core (*patV) [Validation: *lan-tɨʔ]
head;*ku;ku;0.98;*raʔš-;*káp-ut-;Oceanic Outgroup Shift: *mutuʔ (Drift: CV simplification);Proto-Human (*ku) ---> African Core (*raʔš-) / Eurasian Core (*káp-ut-) [Validation: *mutuʔ]
heart;*ka;ka;0.98;*l-b-b;*ḳVrV;Oceanic Outgroup Shift: *yɪnlupɪ (Drift: CV simplification);Proto-Human (*ka) ---> African Core (*l-b-b) / Eurasian Core (*ḳVrV) [Validation: *yɪnlupɪ]
blood;*sa;sa;0.98;*d-m;*s-hywy;Oceanic Outgroup Shift: *wɨla-yɨʔ (Drift: CV simplification);Proto-Human (*sa) ---> African Core (*d-m) / Eurasian Core (*s-hywy) [Validation: *wɨla-yɨʔ]
bone;*ru;ru;0.98;*ḳ-sʼ / ʕ-sʼ-m;*rus;Oceanic Outgroup Shift: *lansɪʔ ~ lansɨʔ (Drift: CV simplification);Proto-Human (*ru) ---> African Core (*ḳ-sʼ / ʕ-sʼ-m) / Eurasian Core (*rus) [Validation: *lansɪʔ ~ lansɨʔ]
one;*ti;ti;0.98;*w-ʕ-d;*tikV;Oceanic Outgroup Shift: *aʼlaʔ (Drift: CV simplification);Proto-Human (*ti) ---> African Core (*w-ʕ-d) / Eurasian Core (*tikV) [Validation: *aʼlaʔ]
two;*ta;ta;0.98;*s-n-y;*tVpV;Oceanic Outgroup Shift: *katuʔ (Drift: CV simplification);Proto-Human (*ta) ---> African Core (*s-n-y) / Eurasian Core (*tVpV) [Validation: *katuʔ]
who;*mik;mik;0.98;*man;*mi;Oceanic Outgroup Shift: *yɨn (Drift: CV simplification);Proto-Human (*mik) ---> African Core (*man) / Eurasian Core (*mi) [Validation: *yɨn]
what;*mak;mak;0.98;*mā;*ma;Oceanic Outgroup Shift: *maʔ (Drift: CV simplification);Proto-Human (*mak) ---> African Core (*mā) / Eurasian Core (*ma) [Validation: *maʔ]
thou;*tak;tak;0.98;*k-t / ʔ-n-t;*tV;Oceanic Outgroup Shift: *kɨnma (Drift: CV simplification);Proto-Human (*tak) ---> African Core (*k-t / ʔ-n-t) / Eurasian Core (*tV) [Validation: *kɨnma]
we;*mak;mak;0.98;*n-ħ-n;*mV;Oceanic Outgroup Shift: *kampuʔ (Drift: CV simplification);Proto-Human (*mak) ---> African Core (*n-ħ-n) / Eurasian Core (*mV) [Validation: *kampuʔ]
i;*ŋa;ŋa;0.98;*ʔanāku;*ŋa-y;Oceanic Outgroup Shift: *kʷa (Drift: CV simplification);Proto-Human (*ŋa) ---> African Core (*ʔanāku) / Eurasian Core (*ŋa-y) [Validation: *kʷa]
die;*ma;ma;0.98;*m-w-t;*mürV;Oceanic Outgroup Shift: *timin- (Drift: CV simplification);Proto-Human (*ma) ---> African Core (*m-w-t) / Eurasian Core (*mürV) [Validation: *timin-]
come;*ge;ge;0.98;*ha;*gʷem-;Oceanic Outgroup Shift: *wɨʔ- / wɨk- (Drift: CV simplification);Proto-Human (*ge) ---> African Core (*ha) / Eurasian Core (*gʷem-) [Validation: *wɨʔ- / wɨk-]
eat;*he;he;0.98;*ʔkl;*h₁et-;Oceanic Outgroup Shift: *kaʔ- / kap- (Drift: CV simplification);Proto-Human (*he) ---> African Core (*ʔkl) / Eurasian Core (*h₁et-) [Validation: *kaʔ- / kap-]
drink;*pa;pa;0.98;*šty;*póh₃y-;Oceanic Outgroup Shift: *u- (Drift: CV simplification);Proto-Human (*pa) ---> African Core (*šty) / Eurasian Core (*póh₃y-) [Validation: *u-]
dog;*ka;ka;0.98;*k-l-b;*ḳwVn-;Oceanic Outgroup Shift: *niʼniʔ (Drift: CV simplification);Proto-Human (*ka) ---> African Core (*k-l-b) / Eurasian Core (*ḳwVn-) [Validation: *niʼniʔ]
fish;*ka;ka;0.98;*samak- / nūn-;*kälV;Oceanic Outgroup Shift: *sami (Drift: CV simplification);Proto-Human (*ka) ---> African Core (*samak- / nūn-) / Eurasian Core (*kälV) [Validation: *sami]
tree;*ti;ti;0.98;*ʕiṣ́-;*tVrV;Oceanic Outgroup Shift: *naɾa (Drift: CV simplification);Proto-Human (*ti) ---> African Core (*ʕiṣ́-) / Eurasian Core (*tVrV) [Validation: *naɾa]
stone;*ka;ka;0.98;*ʔabn-;*ḳaʔwV;Oceanic Outgroup Shift: *laʔpɪ (Drift: CV simplification);Proto-Human (*ka) ---> African Core (*ʔabn-) / Eurasian Core (*ḳaʔwV) [Validation: *laʔpɪ]
night;* a; a;0.98;*layl-;*ya / s-ryak;Oceanic Outgroup Shift: *kʷa (Drift: CV simplification);Proto-Human (* a) ---> African Core (*layl-) / Eurasian Core (*ya / s-ryak) [Validation: *kʷa]
name;*ni;ni;0.98;*s-m;*nimV;Oceanic Outgroup Shift: *lɪn ~ lɪn-lɪn (Drift: CV simplification);Proto-Human (*ni) ---> African Core (*s-m) / Eurasian Core (*nimV) [Validation: *lɪn ~ lɪn-lɪn]
burn;*de;de;0.98;*dao;*dʰegʷʰ-;Oceanic Outgroup Shift: *aʼpɨʔ- (Drift: CV simplification);Proto-Human (*de) ---> African Core (*dao) / Eurasian Core (*dʰegʷʰ-) [Validation: *aʼpɨʔ-]
full;*po;po;0.98;*ǀxʼoɛ;*pl̥h₁nós;Oceanic Outgroup Shift: *nbɘy (Drift: CV simplification);Proto-Human (*po) ---> African Core (*ǀxʼoɛ) / Eurasian Core (*pl̥h₁nós) [Validation: *nbɘy]
give;*de;de;0.98;*ntn / whb;*deh₃-;Oceanic Outgroup Shift: *kʷa (Drift: CV simplification);Proto-Human (*de) ---> African Core (*ntn / whb) / Eurasian Core (*deh₃-) [Validation: *kʷa]
good;*hu;hu;0.98;*ṭāb-;*h₁su- / wésus;Oceanic Outgroup Shift: *paʔ- / pak- (Drift: CV simplification);Proto-Human (*hu) ---> African Core (*ṭāb-) / Eurasian Core (*h₁su- / wésus) [Validation: *paʔ- / pak-]
new;*no;no;0.98;*xʼoa;*néwos;Oceanic Outgroup Shift: *=təy (Drift: CV simplification);Proto-Human (*no) ---> African Core (*xʼoa) / Eurasian Core (*néwos) [Validation: *=təy]
red;*he;he;0.98;*oaˤ;*h₁rewtʰ-;Oceanic Outgroup Shift: *nũɾɐɔ (Drift: CV simplification);Proto-Human (*he) ---> African Core (*oaˤ) / Eurasian Core (*h₁rewtʰ-) [Validation: *nũɾɐɔ]
white;*he;he;0.98;*xoɛ;*h₂elbʰ- / kʷeyt-;Oceanic Outgroup Shift: *yaya- (Drift: CV simplification);Proto-Human (*he) ---> African Core (*xoɛ) / Eurasian Core (*h₂elbʰ- / kʷeyt-) [Validation: *yaya-]
black;*ku;ku;0.98;*u;*krs-nós;Oceanic Outgroup Shift: *pupuruʔa (Drift: CV simplification);Proto-Human (*ku) ---> African Core (*u) / Eurasian Core (*krs-nós) [Validation: *pupuruʔa]
stand;*se;se;0.98;*tɛ;*steh₂-;Oceanic Outgroup Shift: *wani- (Drift: CV simplification);Proto-Human (*se) ---> African Core (*tɛ) / Eurasian Core (*steh₂-) [Validation: *wani-]
sit;*se;se;0.98;*ũ;*set-;Oceanic Outgroup Shift: *kʷa (Drift: CV simplification);Proto-Human (*se) ---> African Core (*ũ) / Eurasian Core (*set-) [Validation: *kʷa]
see;*se;se;0.98;*mũ;*sekʷ- / weyt-;Oceanic Outgroup Shift: *lɪʔ- / lɪk- (Drift: CV simplification);Proto-Human (*se) ---> African Core (*mũ) / Eurasian Core (*sekʷ- / weyt-) [Validation: *lɪʔ- / lɪk-]
hear;*ḱe;ḱe;0.98;*kúḿ;*ḱlew-;Oceanic Outgroup Shift: *wɨ (Drift: CV simplification);Proto-Human (*ḱe) ---> African Core (*kúḿ) / Eurasian Core (*ḱlew-) [Validation: *wɨ]
know;*ǵe;ǵe;0.98;*!ʼã;*ǵneh₃-;Oceanic Outgroup Shift: *nbə (Drift: CV simplification);Proto-Human (*ǵe) ---> African Core (*!ʼã) / Eurasian Core (*ǵneh₃-) [Validation: *nbə]
rain;*se;se;0.98;*tu;*sers- / h₁wóh₁r-;Oceanic Outgroup Shift: *uʔlan (Drift: CV simplification);Proto-Human (*se) ---> African Core (*tu) / Eurasian Core (*sers- / h₁wóh₁r-) [Validation: *uʔlan]
all;*ke;ke;0.98;*we-;*kʼɨʔʷV;Oceanic Outgroup Shift: *yami (Drift: CV simplification);Proto-Human (*ke) ---> African Core (*we-) / Eurasian Core (*kʼɨʔʷV) [Validation: *yami]
ashes;*ri;ri;0.98;*oa;*riqʼːʷˤ;Oceanic Outgroup Shift: *ya-luʔ (Drift: CV simplification);Proto-Human (*ri) ---> African Core (*oa) / Eurasian Core (*riqʼːʷˤ) [Validation: *ya-luʔ]
bark;*ƛa;ƛa;0.98;*ǁxʼũ;*ƛːal;Oceanic Outgroup Shift: *kə (Drift: CV simplification);Proto-Human (*ƛa) ---> African Core (*ǁxʼũ) / Eurasian Core (*ƛːal) [Validation: *kə]
belly;*=u;=u;0.98;*ǀa ~ a;*uo=ɬʷɨn ~ ro=ɬʷɨn;Oceanic Outgroup Shift: *yuʔ (Drift: CV simplification);Proto-Human (*=u) ---> African Core (*ǀa ~ a) / Eurasian Core (*uo=ɬʷɨn ~ ro=ɬʷɨn) [Validation: *yuʔ]
big;*pa;pa;0.98;*kai;*pːVhˤV- ~ hˤVpːV-;Oceanic Outgroup Shift: *kʷa (Drift: CV simplification);Proto-Human (*pa) ---> African Core (*kai) / Eurasian Core (*pːVhˤV- ~ hˤVpːV-) [Validation: *kʷa]
bird;*na;na;0.98;*ʒara;*nɨсʼʷ;Oceanic Outgroup Shift: *ɪlansiʔ (Drift: CV simplification);Proto-Human (*na) ---> African Core (*ʒara) / Eurasian Core (*nɨсʼʷ) [Validation: *ɪlansiʔ]
bite;*ʔe;ʔe;0.98;*pa;*ʔeqʼːɨ-;Oceanic Outgroup Shift: *kɪtɨʔ- (Drift: CV simplification);Proto-Human (*ʔe) ---> African Core (*pa) / Eurasian Core (*ʔeqʼːɨ-) [Validation: *kɪtɨʔ-]
claw / nail;*mo;mo;0.98;*ǁoro;*mːäɬː;Oceanic Outgroup Shift: *tuʔ-tɨʔ-ɾa (Drift: CV simplification);Proto-Human (*mo) ---> African Core (*ǁoro) / Eurasian Core (*mːäɬː) [Validation: *tuʔ-tɨʔ-ɾa]
cloud;*ʔa;ʔa;0.98;*!à=!kxúí;*ʔamsː;Oceanic Outgroup Shift: *wahawaha (Drift: CV simplification);Proto-Human (*ʔa) ---> African Core (*!à=!kxúí) / Eurasian Core (*ʔamsː) [Validation: *wahawaha]
cold;*me;me;0.98;*!qʰai;*meƛʼä-;Oceanic Outgroup Shift: *ǯiǯi (Drift: CV simplification);Proto-Human (*me) ---> African Core (*!qʰai) / Eurasian Core (*meƛʼä-) [Validation: *ǯiǯi]
dry;*ʔi;ʔi;0.98;*ǁxo;*ʔiqʼːʷar-;Oceanic Outgroup Shift: *nbɾə (Drift: CV simplification);Proto-Human (*ʔi) ---> African Core (*ǁxo) / Eurasian Core (*ʔiqʼːʷar-) [Validation: *nbɾə]
feather;*ki;ki;0.98;*ǂʼũ;*kʷik ~ kʷimk;Oceanic Outgroup Shift: *ampuʔɾuʔ (Drift: CV simplification);Proto-Human (*ki) ---> African Core (*ǂʼũ) / Eurasian Core (*kʷik ~ kʷimk) [Validation: *ampuʔɾuʔ]
fly;*ʔi;ʔi;0.98;*om;*ʔiV;Oceanic Outgroup Shift: *pɨn- (Drift: CV simplification);Proto-Human (*ʔi) ---> African Core (*om) / Eurasian Core (*ʔiV) [Validation: *pɨn-]
hair;*ča;ča;0.98;*ǀʼũ;*čʼaˤr;Oceanic Outgroup Shift: *in (Drift: CV simplification);Proto-Human (*ča) ---> African Core (*ǀʼũ) / Eurasian Core (*čʼaˤr) [Validation: *in]
horn;*ka;ka;0.98;*â;*kalč ~ kʼalč ~ kːalč;Oceanic Outgroup Shift: *pɨnmun (Drift: CV simplification);Proto-Human (*ka) ---> African Core (*â) / Eurasian Core (*kalč ~ kʼalč ~ kːalč) [Validation: *pɨnmun]
kill;*ʔi;ʔi;0.98;*ǀxʼũ;*ʔiƛʼe;Oceanic Outgroup Shift: *kʷa (Drift: CV simplification);Proto-Human (*ʔi) ---> African Core (*ǀxʼũ) / Eurasian Core (*ʔiƛʼe) [Validation: *kʷa]
knee;*po;po;0.98;*ǁoɛ;*pɨˤmp ~ pʼɨˤmpʼ;Oceanic Outgroup Shift: *tuʔtuʔpɪ (Drift: CV simplification);Proto-Human (*po) ---> African Core (*ǁoɛ) / Eurasian Core (*pɨˤmp ~ pʼɨˤmpʼ) [Validation: *tuʔtuʔpɪ]
leaf;*ƛa;ƛa;0.98;*ana;*ƛʼačʼa;Oceanic Outgroup Shift: *nĩ (Drift: CV simplification);Proto-Human (*ƛa) ---> African Core (*ana) / Eurasian Core (*ƛʼačʼa) [Validation: *nĩ]
lie;*ʔa;ʔa;0.98;*ǁoe;*ʔaär-;Oceanic Outgroup Shift: *kʷa (Drift: CV simplification);Proto-Human (*ʔa) ---> African Core (*ǁoe) / Eurasian Core (*ʔaär-) [Validation: *kʷa]
