Concept;Ancestral Branch ID;Ancestral Branch Name;Reconstructed Proto-Form;Confidence Score;Primary Proto-Node Attestations
all;branch_african;Proto-Sapiens Africanus (Праафриканский);*we-;0.98;"Proto-Kalahari Khoe: *we- #; Proto-Khoekhoe: *hoa; Proto North Khoisan: *wòe-še; Proto-!Wi: *ku #"
all;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*kʼɨʔʷV;0.98;"Proto-Lezgian: *kʼɨʔʷV; Proto-Nakh: *=arr-ikʼ; Proto-Yeniseian: *bɨʎ- #; Proto-Taa: *ko-kaˤ"
all;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*yami;0.98;"Proto-Cahuapanan: *yami; Proto-Jabuti: *nbɘy"
ashes;branch_african;Proto-Sapiens Africanus (Праафриканский);*oa;0.98;"Proto-Kalahari Khoe: *oa; Proto-Khoekhoe: *tʰao-; Proto North Khoisan: *t; Proto-!Wi: *!qui #"
ashes;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*riqʼːʷˤ;0.98;"Proto-Lezgian: *riqʼːʷˤ; Proto-Nakh: *yobqʼ; Proto-Yeniseian: *qol- [*qor-] #; Proto-Taa: *!ʼui #"
ashes;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*ya-luʔ;0.98;"Proto-Cahuapanan: *ya-luʔ; Proto-Jabuti: *=nbɾəŋ"
bark;branch_african;Proto-Sapiens Africanus (Праафриканский);*ǁxʼũ;0.98;"Proto-Kalahari Khoe: *ǁxʼũ; Proto-Khoekhoe: *soro-; Proto North Khoisan: *ʔrV"
bark;branch_eurasian;Proto-Sapiens Eurasiaticus (Праевразийский / Борейский);*ƛːal;0.98;"Proto-Lezgian: *ƛːal; Proto-Nakh: *kaːbst; Proto-Yeniseian: *ʔɨɢ- [*xɨɢ-] #; Proto-Taa: *gu-le"
bark;branch_oceanic_amerind;Proto-Sapiens Oceanicus & Americanus (Праокеанический / Праамериндский);*kə;0.98;Proto-Jabuti: *kə
belly;branch_african;Proto-Sapiens Africanus (Праафриканский);*ǀa ~ a;0.98;"Proto-Kalahari Khoe: *ǀa ~ *a; Proto-Khoekhoe: *a-; Proto North Khoisan: *ú"
